Command: /home/users5/ec385912/ECE527LSP22/ece527l-lab10/fifo/sim/netlist_sim/./simv -l sim_netlist.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  May  7 21:28 2022
Doing SDF annotation ...... Done
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
WR: 1, OE: 0 | DOUT: af, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: a8, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: a9, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: ab, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: aa, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: ab, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: af, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: ac, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: ad, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: af, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: ae, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: af, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: bf, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: b0, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: b1, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: b3, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: b2, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: b3, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: b7, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: b4, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: b5, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: b7, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: b6, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: b7, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: bf, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: b8, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: b9, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: bb, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: ba, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: bb, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: bf, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: bc, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: bd, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: bf, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: be, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: bf, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: ff, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: c0, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: c1, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: c3, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: c2, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: c3, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: c7, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: c4, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: c5, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: c7, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: c6, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: c7, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: cf, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: c8, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: c9, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: cb, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: ca, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: cb, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: cf, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: cc, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: cd, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: cf, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: ce, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: cf, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: df, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: d0, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: d1, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: d3, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: d2, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: d3, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: d7, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: d4, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: d5, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: d7, EMPTY: 0, FULL: 0
